timestamp,cpu_percent,mem_percent,mem_used_gb,mem_total_gb,mem_available_gb,disk_percent
2026-03-13 19:21:39,0.0,66.8,21.14,31.67,10.52,57.0
2026-03-13 19:21:40,7.2,66.8,21.15,31.67,10.52,57.0
2026-03-13 19:21:41,12.1,66.8,21.17,31.67,10.5,57.0
2026-03-13 19:21:42,10.3,67.2,21.28,31.67,10.39,57.0
2026-03-13 19:21:43,3.3,67.1,21.26,31.67,10.41,57.0
2026-03-13 19:21:44,4.7,67.1,21.26,31.67,10.41,57.0
2026-03-13 19:21:45,4.8,67.1,21.26,31.67,10.41,57.0
2026-03-13 19:21:46,5.2,67.1,21.26,31.67,10.41,57.0
2026-03-13 19:21:47,4.8,67.2,21.27,31.67,10.4,57.0
2026-03-13 19:21:48,7.0,67.1,21.25,31.67,10.42,57.0
2026-03-13 19:21:49,2.5,67.1,21.24,31.67,10.42,57.0
2026-03-13 19:21:50,4.2,67.1,21.24,31.67,10.42,57.0
2026-03-13 19:21:51,5.9,67.1,21.25,31.67,10.42,57.0
2026-03-13 19:21:52,8.7,67.2,21.27,31.67,10.4,57.0
2026-03-13 19:21:53,8.6,67.2,21.29,31.67,10.38,57.0
2026-03-13 19:21:54,12.1,67.3,21.31,31.67,10.36,57.0
2026-03-13 19:21:55,6.7,67.3,21.31,31.67,10.36,57.0
2026-03-13 19:21:56,4.6,67.3,21.31,31.67,10.36,57.0
2026-03-13 19:21:57,3.8,67.3,21.31,31.67,10.36,57.0
2026-03-13 19:21:58,6.6,67.3,21.3,31.67,10.36,57.0
2026-03-13 19:21:59,8.6,67.2,21.3,31.67,10.37,57.0
2026-03-13 19:22:00,9.0,67.3,21.31,31.67,10.36,57.0
2026-03-13 19:22:01,4.9,67.3,21.31,31.67,10.36,57.0
2026-03-13 19:22:02,7.1,67.3,21.31,31.67,10.36,57.0
2026-03-13 19:22:03,3.8,67.2,21.27,31.67,10.39,57.0
2026-03-13 19:22:04,3.9,67.2,21.27,31.67,10.39,57.0
2026-03-13 19:22:05,3.9,67.2,21.28,31.67,10.39,57.0
2026-03-13 19:22:06,3.6,67.2,21.27,31.67,10.39,57.0
2026-03-13 19:22:07,2.1,67.2,21.28,31.67,10.39,57.0
2026-03-13 19:22:08,2.9,67.2,21.27,31.67,10.39,57.0
2026-03-13 19:22:09,7.6,67.2,21.27,31.67,10.39,57.0
2026-03-13 19:22:10,2.9,67.2,21.27,31.67,10.39,57.0
2026-03-13 19:22:11,8.2,67.2,21.28,31.67,10.38,57.0
2026-03-13 19:22:12,5.5,67.2,21.28,31.67,10.39,57.0
2026-03-13 19:22:13,4.8,67.2,21.27,31.67,10.39,57.0
2026-03-13 19:22:14,10.3,67.2,21.28,31.67,10.39,57.0
2026-03-13 19:22:15,1.9,67.2,21.28,31.67,10.39,57.0
2026-03-13 19:22:16,2.6,67.2,21.28,31.67,10.39,57.0
2026-03-13 19:22:17,9.5,67.2,21.28,31.67,10.39,57.0
2026-03-13 19:22:18,4.0,67.2,21.28,31.67,10.39,57.0
2026-03-13 19:22:19,3.3,67.2,21.28,31.67,10.39,57.0
2026-03-13 19:22:20,3.9,67.2,21.28,31.67,10.39,57.0
2026-03-13 19:22:21,5.9,67.2,21.27,31.67,10.39,57.0
2026-03-13 19:22:22,4.7,67.2,21.27,31.67,10.39,57.0
2026-03-13 19:22:23,3.2,67.2,21.27,31.67,10.4,57.0
2026-03-13 19:22:24,2.8,67.2,21.27,31.67,10.4,57.0
2026-03-13 19:22:25,6.1,67.2,21.27,31.67,10.4,57.0
2026-03-13 19:22:26,3.6,67.1,21.26,31.67,10.41,57.0
2026-03-13 19:22:27,2.8,67.1,21.26,31.67,10.41,57.0
2026-03-13 19:22:28,7.6,67.1,21.26,31.67,10.41,57.0
2026-03-13 19:22:29,6.3,67.1,21.26,31.67,10.4,57.0
2026-03-13 19:22:30,4.9,67.1,21.26,31.67,10.41,57.0
2026-03-13 19:22:31,9.3,67.3,21.31,31.67,10.35,57.0
2026-03-13 19:22:32,7.4,67.3,21.32,31.67,10.35,57.0
2026-03-13 19:22:33,9.9,67.3,21.32,31.67,10.34,57.0
2026-03-13 19:22:34,12.5,67.3,21.31,31.67,10.36,57.0
2026-03-13 19:22:35,15.1,67.3,21.32,31.67,10.35,57.0
2026-03-13 19:22:36,4.8,67.3,21.32,31.67,10.35,57.0
2026-03-13 19:22:37,15.9,67.7,21.43,31.67,10.24,57.0
2026-03-13 19:22:38,12.4,67.8,21.48,31.67,10.19,57.0
